HR,Irradiance,Temperature,Humidity,POWER
7,131.93,25.26,84.52,2.06438581
8,306.45,27.84,69.83,5.0683931
9,512.72,30.93,53.55,9.14899332
10,629.6,33.35,42.05,11.909722
11,791.72,35,35.29,15.54854
12,840.78,36.14,31.16,16.94653014
13,742.85,36.85,28.87,15.23399763
14,648.78,36.94,28.11,13.35759494
15,474.55,36.47,28.6,9.717639825
16,254.23,35.37,30.57,5.159814295
17,75.93,33.06,39.8,1.58434811
18,0,30.96,47.05,0
19,0,30.19,49.68,0
20,0,29.23,54.88,0
21,0,28.28,61.14,0
22,0,27.43,67.36,0
23,0,26.67,73.11,0
0,0,26,78.1,0
1,0,25.47,82.11,0
2,0,25.12,84.73,0
3,0,24.84,86.65,0
4,0,24.6,88.13,0
5,0,24.42,89.23,0
6,7.6,24.4,89.38,0.171948
7,104.38,25.39,84.07,1.65401869
8,273.75,27.15,73.41,4.451103125
9,444.92,28.91,63.61,7.54663674
10,613.33,30.33,56.84,10.77102201
11,694.92,31.49,51.62,12.56331386
12,820.12,32.35,47.63,15.1343469
13,729.03,32.71,45.55,13.59481959
14,597.05,32.45,45.56,11.09736013
15,425.23,32.02,46.57,7.87175157
16,238.32,31.24,49.07,4.40400256
17,63.92,29.63,57.53,1.26197732
18,0,27.7,67.18,0
19,0,27.05,69.69,0
20,0,26.45,72.86,0
21,0,25.85,76.35,0
22,0,25.35,79.3,0
23,0,24.94,81.95,0
0,0,24.6,84.46,0
1,0,24.31,86.84,0
2,0,24.07,88.98,0
3,0,23.79,91.32,0
4,0,23.56,93.15,0
5,0,23.41,94.31,0
6,10.4,23.64,93.29,0.2096352
7,125.85,25,86.78,1.95775
8,290.2,26.88,76.69,4.6785092
9,495.3,28.83,65.79,8.37314955
10,645.83,30.57,56.74,11.4062229
11,705.25,31.95,50.39,12.89441938
12,756.53,32.86,46.18,14.14379661
13,689.25,33.31,43.75,13.04620038
14,615.58,33.51,42.18,11.73106361
15,458.67,33.23,41.96,8.728734345
16,265.8,32.46,43.64,5.0392906
17,80.43,30.42,57.87,1.57261877
18,0,28.49,67.14,0
19,0,27.81,69.09,0
20,0,27.33,70.44,0
21,0,26.98,71.26,0
